timestamp,line,throughput_kg_h,energy_kw,downtime_min,operator_note
2026-02-02 08:00,L1,940,170.0,0,Normal operation
2026-02-02 09:00,L2,949,173.5,0,Normal operation
2026-02-02 10:00,L1,958,177.0,0,Normal operation
2026-02-02 11:00,L2,967,180.5,0,Normal operation
2026-02-02 12:00,L1,976,184.0,0,Normal operation
2026-02-02 13:00,L2,985,187.5,0,Normal operation
2026-02-02 14:00,L1,994,191.0,0,Normal operation
2026-02-02 15:00,L2,1003,194.5,0,Normal operation
2026-02-02 16:00,L1,1012,198.0,0,Normal operation
2026-02-02 17:00,L2,1021,170.0,0,Normal operation
2026-02-02 18:00,L1,1030,173.5,0,Normal operation
2026-02-02 19:00,L2,940,177.0,0,Normal operation
2026-02-02 20:00,L1,949,180.5,0,Normal operation
2026-02-02 21:00,L2,958,184.0,0,Normal operation
2026-02-02 22:00,L1,967,187.5,0,Normal operation
2026-02-02 23:00,L2,976,191.0,0,Normal operation
2026-02-03 00:00,L1,985,194.5,0,Normal operation
2026-02-03 01:00,L2,994,198.0,0,Normal operation
2026-02-03 02:00,L1,1003,170.0,0,Normal operation
2026-02-03 03:00,L2,1012,173.5,0,Normal operation
2026-02-03 04:00,L1,1021,177.0,0,Normal operation
2026-02-03 05:00,L2,1030,180.5,0,Normal operation
2026-02-03 06:00,L1,940,184.0,0,Normal operation
2026-02-03 07:00,L2,949,187.5,0,Normal operation
2026-02-03 08:00,L1,958,191.0,0,Normal operation
2026-02-03 09:00,L2,967,194.5,0,Normal operation
2026-02-03 10:00,L1,976,198.0,0,Normal operation
2026-02-03 11:00,L2,985,170.0,0,Normal operation
2026-02-03 12:00,L1,994,173.5,0,Normal operation
2026-02-03 13:00,L2,1003,177.0,0,Normal operation
2026-02-03 14:00,L1,1012,180.5,0,Normal operation
2026-02-03 15:00,L2,1021,184.0,0,Normal operation
2026-02-03 16:00,L1,1030,187.5,0,Normal operation
2026-02-03 17:00,L2,940,191.0,0,Normal operation
2026-02-03 18:00,L1,949,194.5,0,Normal operation
2026-02-03 19:00,L2,958,198.0,0,Normal operation
2026-02-03 20:00,L1,967,170.0,0,Normal operation
2026-02-03 21:00,L2,976,173.5,0,Normal operation
2026-02-03 22:00,L1,985,177.0,0,Normal operation
2026-02-03 23:00,L2,994,180.5,0,Normal operation
2026-02-04 00:00,L1,1003,184.0,0,Normal operation
2026-02-04 01:00,L2,1012,187.5,0,Normal operation
2026-02-04 02:00,L1,1021,191.0,0,Normal operation
2026-02-04 03:00,L2,1030,194.5,0,Normal operation
2026-02-04 04:00,L1,940,198.0,15,Inspect pump
2026-02-04 05:00,L2,949,170.0,0,Normal operation
2026-02-04 06:00,L1,958,173.5,0,Normal operation
2026-02-04 07:00,L2,967,177.0,0,Normal operation
2026-02-04 08:00,L1,976,180.5,0,Normal operation
2026-02-04 09:00,L2,985,184.0,0,Normal operation
2026-02-04 10:00,L1,994,187.5,0,Normal operation
2026-02-04 11:00,L2,1003,191.0,0,Normal operation
2026-02-04 12:00,L1,1012,194.5,0,Normal operation
2026-02-04 13:00,L2,1021,198.0,0,Normal operation
2026-02-04 14:00,L1,1030,170.0,0,Normal operation
2026-02-04 15:00,L2,940,173.5,0,Normal operation
2026-02-04 16:00,L1,949,177.0,0,Normal operation
2026-02-04 17:00,L2,958,180.5,0,Normal operation
2026-02-04 18:00,L1,967,184.0,0,Normal operation
2026-02-04 19:00,L2,976,187.5,0,Normal operation
2026-02-04 20:00,L1,985,191.0,0,Normal operation
2026-02-04 21:00,L2,994,194.5,0,Normal operation
2026-02-04 22:00,L1,1003,198.0,0,Normal operation
2026-02-04 23:00,L2,1012,170.0,0,Normal operation
2026-02-05 00:00,L1,1021,173.5,0,Normal operation
2026-02-05 01:00,L2,1030,177.0,0,Normal operation
2026-02-05 02:00,L1,940,180.5,0,Normal operation
2026-02-05 03:00,L2,949,184.0,0,Normal operation
2026-02-05 04:00,L1,958,187.5,0,Normal operation
2026-02-05 05:00,L2,967,191.0,0,Normal operation
2026-02-05 06:00,L1,976,194.5,0,Normal operation
2026-02-05 07:00,L2,985,198.0,0,Normal operation
2026-02-05 08:00,L1,994,170.0,0,Normal operation
2026-02-05 09:00,L2,1003,173.5,0,Normal operation
2026-02-05 10:00,L1,1012,177.0,0,Normal operation
2026-02-05 11:00,L2,1021,180.5,0,Normal operation
2026-02-05 12:00,L1,1030,184.0,0,Normal operation
2026-02-05 13:00,L2,940,187.5,0,Normal operation
2026-02-05 14:00,L1,949,191.0,0,Normal operation
2026-02-05 15:00,L2,958,194.5,0,Normal operation
2026-02-05 16:00,L1,967,198.0,0,Normal operation
2026-02-05 17:00,L2,976,170.0,0,Normal operation
2026-02-05 18:00,L1,985,173.5,0,Normal operation
2026-02-05 19:00,L2,994,177.0,0,Normal operation
2026-02-05 20:00,L1,1003,180.5,0,Normal operation
2026-02-05 21:00,L2,1012,184.0,0,Normal operation
2026-02-05 22:00,L1,1021,187.5,0,Normal operation
2026-02-05 23:00,L2,1030,191.0,0,Normal operation
